ID,pot_type,strat,rep,config,rowcol,row,col,seed,density,taxa,harvest,potnumber
6_high_quarterB_Cc.Hm_3_early,Cc.Hm,6,3,quarterB,d.5,d,5,1,high,C.canadensis,early,14
6_high_quarterB_Cc.Hm_3_early,Cc.Hm,6,3,quarterB,e.2,e,2,1,high,C.canadensis,early,14
6_high_quarterB_Cc.Hm_3_early,Cc.Hm,6,3,quarterB,e.4,e,4,0,high,H.matronalis,early,14
6_high_quarterB_Cc.Hm_3_early,Cc.Hm,6,3,quarterB,e.6,e,6,0,high,H.matronalis,early,14
6_high_quarterB_Cc.Hm_3_early,Cc.Hm,6,3,quarterB,f.3,f,3,1,high,C.canadensis,early,14
6_high_quarterB_Cc.Hm_3_early,Cc.Hm,6,3,quarterB,f.5,f,5,1,high,C.canadensis,early,14
6_high_even_Cc.Hm_3_early,Cc.Hm,6,3,even,a.2,a,2,1,high,C.canadensis,early,15
6_high_even_Cc.Hm_3_early,Cc.Hm,6,3,even,a.4,a,4,1,high,C.canadensis,early,15
6_high_even_Cc.Hm_3_early,Cc.Hm,6,3,even,b.1,b,1,1,high,C.canadensis,early,15
6_high_even_Cc.Hm_3_early,Cc.Hm,6,3,even,b.3,b,3,1,high,C.canadensis,early,15
6_high_even_Cc.Hm_3_early,Cc.Hm,6,3,even,b.5,b,5,1,high,C.canadensis,early,15
6_high_even_Cc.Hm_3_early,Cc.Hm,6,3,even,c.2,c,2,0,high,H.matronalis,early,15
6_high_even_Cc.Hm_3_early,Cc.Hm,6,3,even,c.4,c,4,0,high,H.matronalis,early,15
